Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
The New York Times,"Passengers in a helicopter that fell in the East River were underwater, cinched in harnesses. Divers tried to free… https://t.co/M4X1nSdaUP",Mon Mar 12 18:00:03 +0000 2018,0.0,0.0,1.0,0.0,32
The New York Times,"After Putin suggested that Jews might have been behind the hacking attack on the 2016 election, top Democrats implo… https://t.co/1Uq1AmhSaa",Mon Mar 12 17:50:06 +0000 2018,-0.3182,0.079,0.786,0.135,33
The New York Times,"Coercion, abuse, billions seized: As the Saudi crown prince prepares to visit the U.S., we found disturbing aspects… https://t.co/PFNkmeDkF4",Mon Mar 12 17:40:12 +0000 2018,-0.8176,0.0,0.694,0.306,34
The New York Times,"Breaking News: Prime Minister Theresa May of Britain said it was ""highly likely"" that Russia was behind the poisoni… https://t.co/wkRIJUY8MC",Mon Mar 12 17:26:21 +0000 2018,0.0,0.0,1.0,0.0,35
The New York Times,Servers and diners: Do you see a connection between tipping and bad behavior? We want to hear from you. https://t.co/yMph3DZJuY,Mon Mar 12 17:21:00 +0000 2018,-0.4939,0.06,0.78,0.161,36
The New York Times,Managers can protect workers by switching a server’s table or asking an offending customer to leave. But even for b… https://t.co/UuqB9K3PWu,Mon Mar 12 17:18:00 +0000 2018,-0.2263,0.108,0.705,0.187,37
The New York Times,“Most of my day is geared towards how is a man going to feel about me. How can I maximize tips without feeling over… https://t.co/sYagnb5MBJ,Mon Mar 12 17:15:00 +0000 2018,-0.0951,0.0,0.941,0.059,38
The New York Times,Brittany Gilbert said she used to “get so creeped out and weirded out” by customers’ behavior. But now?… https://t.co/EXlsS8KNA1,Mon Mar 12 17:12:00 +0000 2018,0.0,0.0,1.0,0.0,39
The New York Times,"Dana Angelo gave a start when a man reached up her skirt and grabbed her. But she stifled a scream, afraid to make… https://t.co/eunFWoj87c",Mon Mar 12 17:09:00 +0000 2018,-0.5719,0.057,0.735,0.208,40
The New York Times,Working for tips means that each shift comes with questions that don’t apply to millions of other workers around th… https://t.co/bgr1lk2s5B,Mon Mar 12 17:06:00 +0000 2018,0.0,0.0,1.0,0.0,41
The New York Times,"We interviewed over 60 servers and bartenders who shared stories of crude comments, groping and even stalking by cu… https://t.co/n71gDVDGOD",Mon Mar 12 17:03:04 +0000 2018,-0.3182,0.1,0.747,0.154,42
The New York Times,Lewd comments. Sexual overtures. Groping. Restaurant servers put up with a lot in pursuit of the tips they need to… https://t.co/r9QQLxayb9,Mon Mar 12 17:00:07 +0000 2018,0.0,0.0,1.0,0.0,43
The New York Times,"“I have not intentionally visited schools that are underperforming,” Education Secretary Betsy DeVos said during an… https://t.co/u5zpeGoLya",Mon Mar 12 16:50:11 +0000 2018,0.0,0.0,1.0,0.0,44
The New York Times,President Trump confirmed his administration wouldn't immediately pursue a proposal to raise the age limit for buyi… https://t.co/OCkGpsG8g7,Mon Mar 12 16:40:06 +0000 2018,0.0,0.0,1.0,0.0,45
The New York Times,How to stop eating sugar https://t.co/5nYiLNUUsO https://t.co/9mf81TDlPC,Mon Mar 12 16:30:17 +0000 2018,-0.296,0.0,0.732,0.268,46
The New York Times,"RT @nytopinion: Sugar encourages overeating and causes health problems. And Americans are surrounded by it, @DLeonhardt writes https://t.co…",Mon Mar 12 16:20:08 +0000 2018,0.0516,0.134,0.741,0.125,47
The New York Times,"To speak freely about an alleged affair with Donald Trump, the porn star Stormy Daniels offered to return the $130,… https://t.co/SeVGNgMX8h",Mon Mar 12 16:10:05 +0000 2018,0.4404,0.127,0.873,0.0,48
The New York Times,"RT @NYTSports: On today's front page: The N.C.A.A. ""In Crowd,"" an illustration by @camorris. See who the experts like in this year's tourna…",Mon Mar 12 16:00:20 +0000 2018,0.3612,0.102,0.898,0.0,49
The New York Times,"Antidepressants are widely prescribed, yet questions remain about how effective they are https://t.co/TNaU8NaPb4",Mon Mar 12 15:50:09 +0000 2018,0.4767,0.205,0.795,0.0,50
The New York Times,"For more than 3 decades, her murder remained unsolved. The authorities now have a suspect. https://t.co/GIfW7ZTMM8",Mon Mar 12 15:40:13 +0000 2018,-0.7845,0.0,0.635,0.365,51
The New York Times,"Thank you, daylight saving time https://t.co/fz5uXKRQNR",Mon Mar 12 15:30:08 +0000 2018,0.3612,0.333,0.667,0.0,52
The New York Times,RT @nytimesbusiness: The man in line to be the next CEO of Goldman Sachs has a side hustle we wrote about. https://t.co/QlOhDnwfZ8,Mon Mar 12 15:20:05 +0000 2018,0.0,0.0,1.0,0.0,53
The New York Times,President Trump repeated 6 claims at his weekend rally that were false or lacked context https://t.co/sf0eFOwg3E,Mon Mar 12 15:10:11 +0000 2018,0.0,0.0,1.0,0.0,54
The New York Times,"""These people live on the edge,"" a meteorologist said. ""Any tilt to the poor rains, and they're done."" https://t.co/FFCXp2jrIV",Mon Mar 12 15:00:18 +0000 2018,-0.4767,0.0,0.846,0.154,55
The New York Times,Breaking News: The fashion designer Hubert de Givenchy has died at 91. He dressed the likes of Jacqueline Kennedy O… https://t.co/008lT8yknx,Mon Mar 12 14:55:17 +0000 2018,-0.2023,0.11,0.748,0.142,56
The New York Times,"For more than a year, Shinzo Abe has deflected allegations that he and his wife were involved in a sweetheart land… https://t.co/lYomp1oVg5",Mon Mar 12 14:44:03 +0000 2018,0.6486,0.185,0.815,0.0,57
The New York Times,RT @RachelAbramsNY: Does the U.S. tipping system fuel sexual harassment against a major female workforce? @catrineinhorn &amp; I explore https:…,Mon Mar 12 14:39:29 +0000 2018,-0.5423,0.0,0.829,0.171,58
The New York Times,"""A Wrinkle in Time"" arrived to a lackluster $33.3 million in ticket sales in North America over the weekend. ""Black… https://t.co/TjgllqGBxN",Mon Mar 12 14:31:03 +0000 2018,0.0,0.0,1.0,0.0,59
The New York Times,"At restaurants across America, servers calculate how far is too far, weighing harassing behavior against the tips t… https://t.co/FXX6QpJw3v",Mon Mar 12 14:21:03 +0000 2018,-0.5423,0.0,0.837,0.163,60
The New York Times,"Goldman Sachs cleared the way for a successor to Lloyd Blankfein as its chief executive: David Solomon, a veteran a… https://t.co/6E5fy1JMqD",Mon Mar 12 14:10:06 +0000 2018,0.3182,0.163,0.837,0.0,61
The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/gDF4hc5bbH https://t.co/qj8aAhYRru,Mon Mar 12 14:00:24 +0000 2018,0.0,0.0,1.0,0.0,62
The New York Times,10 myths about your NCAA bracket https://t.co/WUZtLMS6Ty,Mon Mar 12 13:44:07 +0000 2018,0.0,0.0,1.0,0.0,63
The New York Times,"""Does anyone here know who was imprisoned here?"" the historian asked the class. A boy tentatively raised his hand.… https://t.co/0auDU5rq4Q",Mon Mar 12 13:30:14 +0000 2018,-0.4588,0.0,0.857,0.143,64
The New York Times,What's the actual story behind the O.J. Simpson interview? Why are we just seeing it now? https://t.co/PVyDlx4Lxk,Mon Mar 12 13:14:06 +0000 2018,0.0,0.0,1.0,0.0,65
The New York Times,"If President Trump pulls out of the Iran deal, Kim Jong-un may well wonder why he should negotiate with the U.S. if… https://t.co/FviynapRCv",Mon Mar 12 13:00:14 +0000 2018,0.2732,0.087,0.913,0.0,66
The New York Times,A passenger plane from Bangladesh slammed into an empty field and caught fire just short of the runway at the airpo… https://t.co/OEMiSdiDn6,Mon Mar 12 12:47:04 +0000 2018,-0.4939,0.0,0.819,0.181,67
The New York Times,Dropbox said that it hoped to raise as much as $648 million in its forthcoming stock market debut https://t.co/NU8px87x9W,Mon Mar 12 12:30:10 +0000 2018,0.3818,0.126,0.874,0.0,68
The New York Times,"The White House said it wanted to partner with local officials to provide ""rigorous firearms training"" to school pe… https://t.co/zkmeykB53C",Mon Mar 12 12:15:05 +0000 2018,-0.2732,0.0,0.9,0.1,69
The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/BRF1jDhHED https://t.co/qC87FYsacQ,Mon Mar 12 12:00:12 +0000 2018,0.0,0.0,1.0,0.0,70
The New York Times,Virginia was named the top overall seed in the NCAA tournament bracket released Sunday night https://t.co/9Uou3cTLF8,Mon Mar 12 11:44:01 +0000 2018,0.2023,0.107,0.893,0.0,71
The New York Times,The passengers of the helicopter that crashed into New York's East River were tightly harnessed and had to be cut o… https://t.co/UnB8VpgQdp,Mon Mar 12 11:31:02 +0000 2018,-0.2732,0.0,0.909,0.091,72
The New York Times,"Under guard at his home, the Venezuelan opposition leader Leopoldo López contemplates what might still be possible… https://t.co/dzKUNMDsJY",Mon Mar 12 11:15:09 +0000 2018,0.0,0.0,1.0,0.0,73
The New York Times,China's National People’s Congress opened the way for Xi Jinping to rule indefinitely https://t.co/mJx0BQIo5i,Mon Mar 12 11:00:22 +0000 2018,0.0,0.0,1.0,0.0,74
The New York Times,"A commercial flight from Bangladesh crashed at the main airport in Kathmandu, Nepal. Images on social media showed… https://t.co/N5kY8PQlqr",Mon Mar 12 10:46:04 +0000 2018,0.0,0.0,1.0,0.0,75
The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/3s1HzoHGZJ https://t.co/plW9QYD9WG,Mon Mar 12 10:30:13 +0000 2018,0.0,0.0,1.0,0.0,76
The New York Times,“The level of tension between the United States and its major trading partners is probably more tense than it has b… https://t.co/XOO7jEBeRX,Mon Mar 12 10:13:02 +0000 2018,-0.2944,0.105,0.709,0.186,77
The New York Times,Stormy Daniels and her lawyer are pursuing an aggressive strategy to pressure President Trump https://t.co/2HvRcRYtJW,Mon Mar 12 09:59:02 +0000 2018,-0.4215,0.0,0.774,0.226,78
The New York Times,"RT @nytimesworld: Brussels is astir after a bureaucratic sleight-of-hand put Martin Selmayr, a German lawyer and chief of staff to Jean-Cla…",Mon Mar 12 09:45:07 +0000 2018,0.0,0.0,1.0,0.0,79
The New York Times,Marine Le Pen hopes a rebranding may reinvigorate the struggling National Front party https://t.co/JsZhJwAJzf,Mon Mar 12 09:30:09 +0000 2018,0.7184,0.427,0.437,0.136,80
The New York Times,How to stop eating sugar https://t.co/PdGvwhkpaH,Mon Mar 12 09:00:06 +0000 2018,-0.296,0.0,0.694,0.306,81
The New York Times,RT @nytimesworld: He wears tennis shoes and rides a bike. He gave away 70% of his lawmaker salary. Meet a 28-year-old in Mexico who is insp…,Mon Mar 12 08:44:04 +0000 2018,0.0,0.0,1.0,0.0,82
The New York Times,"In the early days of the crackdown, at least 17 detainees were hospitalized for physical abuse and one later died i… https://t.co/HgAtozyyl1",Mon Mar 12 08:31:03 +0000 2018,-0.8316,0.0,0.719,0.281,83
The New York Times,"RT @nytimesworld: British counterterrorism police are investigating hate-filled letters that call for April 3 to be ""Punish a Muslim Day"" h…",Mon Mar 12 08:26:05 +0000 2018,-0.5267,0.0,0.841,0.159,84
The New York Times,"Low-effort, high-reward cooking for when you're hungry and exhausted https://t.co/K9SWuw17id https://t.co/PeaVpZS4bB",Mon Mar 12 08:11:27 +0000 2018,-0.3612,0.0,0.8,0.2,85
