Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
Fox News,.@PressSec: “@POTUS is supporting legislation and reforms to strengthen the background check system and law enforce… https://t.co/YJh1JvKPE8,Mon Mar 12 19:17:39 +0000 2018,0.6369,0.257,0.743,0.0,31
Fox News,".@PressSec: “We will ensure our schools are safe and secured just like our airports, stadiums, and government build… https://t.co/rRarZSXOC6",Mon Mar 12 19:15:57 +0000 2018,0.8658,0.416,0.584,0.0,32
Fox News,.@PressSec Sarah Sanders holds a press briefing at the @WhiteHouse https://t.co/vdFAkP1DZz,Mon Mar 12 19:07:16 +0000 2018,0.0,0.0,1.0,0.0,33
Fox News,TUNE IN: @VP Mike Pence sits down for an interview with @SeanHannity TONIGHT at 9p ET on Fox News Channel. https://t.co/6ZTXfrt9wq,Mon Mar 12 18:55:00 +0000 2018,0.0,0.0,1.0,0.0,34
Fox News,.@RepPeteKing : House Intel Committee Wants to Know When Dossier Was Shown to @BarackObama  #AmericasNewsroom  https://t.co/Qoft1PAiWS,Mon Mar 12 18:50:49 +0000 2018,0.0,0.0,1.0,0.0,35
Fox News,"Beloved pastor's wife killed, minister beaten in North Carolina home invasion and arson https://t.co/PxPzCg6H1g (via @christocarbone)",Mon Mar 12 18:36:57 +0000 2018,-0.6124,0.14,0.551,0.309,36
Fox News,"Austin package explosions leave teen dead, women hurt after three blasts in 2 weeks (via @travfed)  https://t.co/4SETsq1cos",Mon Mar 12 18:20:00 +0000 2018,-0.836,0.0,0.594,0.406,37
Fox News,".@POTUS posed for photographs after Houston @Astros' Josh Reddick, right, presented him with a jersey during a cere… https://t.co/N8Aw2fdn26",Mon Mar 12 18:12:13 +0000 2018,0.0,0.0,1.0,0.0,38
Fox News,"RT @VP: Joined @SeanHannity for an interview about North Korea, Trump Tax Cuts, the American economy &amp; jobs, the Administration’s prioritie…",Mon Mar 12 17:52:50 +0000 2018,-0.296,0.0,0.901,0.099,39
Fox News,College student kicked out of class for telling professor there are only two genders (via @calebparke) https://t.co/eZ2ovmWFMc,Mon Mar 12 17:49:10 +0000 2018,0.0,0.0,1.0,0.0,40
Fox News,Breaking News: Third explosion badly injures elderly woman in Texas city already rocked by pair of deadly blasts https://t.co/FMretQpIyO,Mon Mar 12 17:39:38 +0000 2018,-0.4767,0.0,0.853,0.147,41
Fox News,.@Eminem slams @NRA in iHeartRadio performance: 'They love their guns more than our children' https://t.co/Tm7ocap80e,Mon Mar 12 17:18:00 +0000 2018,0.6369,0.231,0.769,0.0,42
Fox News,Video appears to show final moments before helicopter crashed into NYC's East River https://t.co/JW1SUzHUpC,Mon Mar 12 17:00:07 +0000 2018,0.0,0.0,1.0,0.0,43
Fox News,RT @FoxBusiness: Florida shooting victim’s father praises Trump’s gun control measures https://t.co/dxElIJ66oq https://t.co/OLh5XOa65V,Mon Mar 12 16:58:54 +0000 2018,0.25,0.202,0.655,0.143,44
