Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,RT @ABCPolitics: LIVE NOW: @rickklein and the @ABCPolitics team breaks down the White House briefing and the day in politics: https://t.co/…,Mon Mar 12 19:31:00 +0000 2018,0.0,0.0,1.0,0.0,31
ABC News,"NEW: Press Sec. Sanders calls nerve agent attack in UK an ""outrage,"" says ""we stand by our closest ally.""

Prime Mi… https://t.co/yluirOfItw",Mon Mar 12 19:28:47 +0000 2018,-0.4767,0.0,0.871,0.129,32
ABC News,"Press Sec. Sanders: ""Let's not forget that the Obama administration had the White House and all of Congress for two… https://t.co/nQr8MN0hEM",Mon Mar 12 19:22:25 +0000 2018,0.1695,0.077,0.923,0.0,33
ABC News,"RT @ABCPolitics: .@PressSec tells @jonkarl that many of the gun safety proposals previously mentioned by Pres. Trump, including raising age…",Mon Mar 12 19:21:48 +0000 2018,0.1027,0.121,0.776,0.103,34
ABC News,Big buck contributions come from surprising source in Texas politics. https://t.co/G1j7c6eh4W https://t.co/Nbg24eXle3,Mon Mar 12 19:17:03 +0000 2018,0.2732,0.16,0.84,0.0,35
ABC News,"Asked whether any of Pres. Trump's school safety proposals were opposed by the NRA, @PressSec tells @jonkarl, ""What… https://t.co/4wP9QYzA1t",Mon Mar 12 19:14:58 +0000 2018,0.4215,0.135,0.865,0.0,36
ABC News,"NEW: Pres. Trump to travel to Peru and Colombia, his first trip to Latin America. https://t.co/NkJuIoh4fP https://t.co/HWGBc9oyqK",Mon Mar 12 19:09:44 +0000 2018,0.0,0.0,1.0,0.0,37
ABC News,"Theresa May gives Russia until tomorrow to respond to nerve agent attack: ""Should there be no credible response, we… https://t.co/SykUpaOvLW",Mon Mar 12 19:09:36 +0000 2018,-0.6486,0.0,0.773,0.227,38
ABC News,LIVE: Press Sec. Sanders holds White House briefing. https://t.co/ASFmSifiyS,Mon Mar 12 19:08:11 +0000 2018,0.0,0.0,1.0,0.0,39
ABC News,"Always listen to your parents: Son ignores his dad’s pleading for him to slow down on his snowboard, crashes direct… https://t.co/ed5MeSDIGy",Mon Mar 12 18:56:55 +0000 2018,-0.2732,0.0,0.905,0.095,40
ABC News,"Meghan Markle attends her first official event with Queen Elizabeth, joining the royal family at a service marking… https://t.co/unsdkoZ6qd",Mon Mar 12 18:37:42 +0000 2018,0.0,0.0,1.0,0.0,41
ABC News,"Theresa May tells Parliament it is ""highly likely"" Russia was responsible for poisoning Russian ex-spy and his daug… https://t.co/IcZXhrnVbe",Mon Mar 12 18:11:16 +0000 2018,-0.3612,0.1,0.736,0.165,42
ABC News,Crews recover the helicopter from last night’s deadly crash in New York City’s East River; all five passengers aboa… https://t.co/QEB4UvQZu3,Mon Mar 12 18:06:25 +0000 2018,-0.4019,0.0,0.876,0.124,43
ABC News,"""A deliberate cover-up""?: U.S. Figure Skating reckoning with sexual abuse allegations against Olympic coach.… https://t.co/CK7gIEDSsD",Mon Mar 12 17:58:54 +0000 2018,-0.6369,0.0,0.769,0.231,44
ABC News,MORE: Austin police warn residents against opening unexpected packages following two explosions today.… https://t.co/lRrcqNijF6,Mon Mar 12 17:55:27 +0000 2018,-0.3233,0.0,0.848,0.152,45
ABC News,"LATEST: A second explosion has rocked Austin, Texas, hours after an earlier blast killed a teen and injured a woman. https://t.co/79KILI8TTj",Mon Mar 12 17:39:40 +0000 2018,-0.802,0.0,0.69,0.31,46
ABC News,"Dublin crowd chants ""Get well, Tim!"" after Faith Hill announces Tim McGraw would not return to the stage due to deh… https://t.co/TsT0k8Sven",Mon Mar 12 17:36:52 +0000 2018,0.636,0.206,0.794,0.0,47
ABC News,"RT @ABCPolitics: Theresa May: ""We will not tolerate such a brazen attempt to murder innocent civilians on our soil."" https://t.co/ASC7vmJBX…",Mon Mar 12 17:35:45 +0000 2018,-0.5106,0.1,0.705,0.195,48
ABC News,"May says she will give Russia until end of tomorrow to respond to nerve agent attack against ex-Russian spy. ""Shoul… https://t.co/saACwXFEjh",Mon Mar 12 17:33:56 +0000 2018,-0.4767,0.0,0.866,0.134,49
ABC News,"No power is no problem for this improvised group of singers, who harmonized in the darkened street following a powe… https://t.co/K2F7MKomcT",Mon Mar 12 17:33:45 +0000 2018,-0.5423,0.101,0.623,0.276,50
ABC News,"May: ""Either this was a direct act by the Russian state against our country, or the Russian government lost control… https://t.co/DR2xatDlRG",Mon Mar 12 17:28:07 +0000 2018,-0.3182,0.0,0.892,0.108,51
ABC News,"JUST IN: British Prime Minister Theresa May: ""It is highly likely that Russia was responsible"" for nerve agent atta… https://t.co/jB18JjmUoj",Mon Mar 12 17:25:14 +0000 2018,0.3182,0.108,0.892,0.0,52
ABC News,Campaign tactics by Democratic officials to ensure party retakes the House lead to growing concerns the heavy-hande… https://t.co/gqVtdqx2Lk,Mon Mar 12 17:15:35 +0000 2018,0.7184,0.318,0.682,0.0,53
ABC News,"""That was cool!"" Video shows  86-year-old bridge in Illinois being demolished. It took over 300 charges to complete… https://t.co/vqXyel6qyF",Mon Mar 12 16:52:32 +0000 2018,-0.3382,0.0,0.883,0.117,54
ABC News,"Houston Astros owner Jim Crane praises team for pulling together following Hurricane Harvey: ""59 years, we never wo… https://t.co/QmWWMkqn8l",Mon Mar 12 16:51:43 +0000 2018,0.5267,0.159,0.841,0.0,55
ABC News,"Pres. Trump calls Houston Astros' championship win after Hurricane Harvey devastated the region ""a befitting tribut… https://t.co/HKz7Vsx5To",Mon Mar 12 16:39:07 +0000 2018,0.4019,0.271,0.567,0.162,56
ABC News,LIVE: Pres. Trump welcomes World Series Champions Houston Astros at the White House. https://t.co/UrTaQbTQDe,Mon Mar 12 16:34:51 +0000 2018,0.7269,0.337,0.663,0.0,57
ABC News,"NEW: Lawyer for Stormy Daniels sends letter to Trump attorney Michael Cohen offering to return $130,000 to void non… https://t.co/gsv6cOcsRD",Mon Mar 12 16:31:25 +0000 2018,0.0,0.0,1.0,0.0,58
