Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),RT @BBCAlagiah: Theresa May says “no question of business as usual” with Russia after revealing military grade nerve agent was used in Sali…,Mon Mar 12 17:23:58 +0000 2018,0.0,0.0,1.0,0.0,31
BBC News (UK),"Highly likely Russia behind spy attack, says Theresa May https://t.co/xhB0JRclb3",Mon Mar 12 17:19:37 +0000 2018,-0.4767,0.0,0.744,0.256,32
BBC News (UK),"RT @BBCBreaking: Former Russian spy &amp; his daughter poisoned in Salisbury by ""military grade nerve agent of a type developed by Russia"" - UK…",Mon Mar 12 17:15:51 +0000 2018,-0.4939,0.0,0.868,0.132,33
BBC News (UK),"Celibacy and abstinence should be promoted as ""positive life choices"" says @c_of_e 

https://t.co/XVe6ZoyZdM",Mon Mar 12 16:31:07 +0000 2018,0.7506,0.368,0.632,0.0,34
BBC News (UK),Tube push attempted murder: Alan Alencar sectioned https://t.co/uyjgPeZbR1,Mon Mar 12 16:27:03 +0000 2018,-0.6908,0.0,0.598,0.402,35
BBC News (UK),Giant panda breeding programme at Edinburgh Zoo suspended https://t.co/m1XJBJpLOX,Mon Mar 12 16:09:35 +0000 2018,-0.4767,0.0,0.721,0.279,36
BBC News (UK),Kathmandu airport crash: Footage shows wreckage of plane crash that killed at least 49 people.… https://t.co/ZYDXT4CnAY,Mon Mar 12 15:58:17 +0000 2018,-0.872,0.0,0.568,0.432,37
BBC News (UK),Millennial 26-30 railcard to launch nationwide https://t.co/1MLG2uIQ9l,Mon Mar 12 15:47:44 +0000 2018,0.0,0.0,1.0,0.0,38
BBC News (UK),Meghan Markle joins Queen for Commonwealth Day service https://t.co/DmeAd0hsHG,Mon Mar 12 15:34:09 +0000 2018,0.0,0.0,1.0,0.0,39
BBC News (UK),"RT @BBCParliament: Speaker John Bercow is chairing question-time at the moment. At around 4pm, Caroline Lucas asks an urgent question about…",Mon Mar 12 15:21:12 +0000 2018,0.2023,0.083,0.917,0.0,40
BBC News (UK),"Allegations of bullying in parliament set to be raised in the Commons

https://t.co/NW9DjYGjzE https://t.co/LPgbZKBIpI",Mon Mar 12 15:16:38 +0000 2018,-0.5994,0.0,0.769,0.231,41
BBC News (UK),Jamie Carragher: Former Liverpool defender suspended by Sky Sports after spitting incident https://t.co/CQ5FmUG8xq,Mon Mar 12 14:23:09 +0000 2018,-0.4019,0.09,0.71,0.2,42
BBC News (UK),"RT @BBCSport: Jamie Carragher has been suspended by Sky Sports after a video showed him spitting towards a girl.

Full story: https://t.co/…",Mon Mar 12 14:13:41 +0000 2018,-0.4767,0.0,0.86,0.14,43
BBC News (UK),"RT @BBCSteveR: At a grain centre in Krasnodar, I just asked #Putin if Russia is behind Skripal poisoning: ""We're dealing with agriculture h…",Mon Mar 12 14:13:31 +0000 2018,-0.5859,0.0,0.84,0.16,44
BBC News (UK),Parsons Green: Tube bomb accused 'blamed West for father's death' https://t.co/Ine2ZFcv9s,Mon Mar 12 14:10:27 +0000 2018,-0.9081,0.0,0.361,0.639,45
BBC News (UK),Kurdish protesters close Humber Bridge https://t.co/rKxO0tHBmG,Mon Mar 12 14:10:27 +0000 2018,-0.2263,0.0,0.725,0.275,46
BBC News (UK),"BBC appeals to UN to stop Iran from harassing @bbcpersian service staff in London and their families in Iran

https://t.co/osV8JaVaww",Mon Mar 12 13:43:06 +0000 2018,-0.6908,0.0,0.759,0.241,47
BBC News (UK),RT @BBCNewsGraphics: Life in Vladimir Putin's Russia explained in 10 charts https://t.co/oeLK5OrB6X https://t.co/xxdfvrfZuW,Mon Mar 12 13:22:13 +0000 2018,0.0,0.0,1.0,0.0,48
BBC News (UK),"RT @BBCWorld: Have hopes for another toddler  invasion been dashed? 🚪 👧👶
https://t.co/G3tXBwsrVf",Mon Mar 12 13:17:37 +0000 2018,0.4215,0.203,0.797,0.0,49
BBC News (UK),"""The world has lost a brilliant, creative comedian.....who just wanted to make people happy."" Kenn Dodd's wife Anne… https://t.co/8rGo6biVPU",Mon Mar 12 13:02:22 +0000 2018,0.6597,0.279,0.625,0.096,50
BBC News (UK),RT @BBCNWT: Tribute from Ken Dodd's wife Anne outside the couple's home in Knotty Ash this morning. . https://t.co/VeFNUIT0ai,Mon Mar 12 12:44:12 +0000 2018,0.0,0.0,1.0,0.0,51
BBC News (UK),The Beatles: Hundreds of unseen photos show early US concerts https://t.co/eFCbR7dACM,Mon Mar 12 12:41:12 +0000 2018,0.0,0.0,1.0,0.0,52
BBC News (UK),Cafe Rouge owner reports £60m loss as restaurants struggle https://t.co/FKunvfErjX,Mon Mar 12 12:36:37 +0000 2018,-0.5574,0.0,0.635,0.365,53
BBC News (UK),"Sex education: Schools 'should promote celibacy', says Church of England https://t.co/6S3VYxS1oM",Mon Mar 12 12:22:30 +0000 2018,0.3818,0.206,0.794,0.0,54
BBC News (UK),"UK should set date for everyone to speak English, says Casey https://t.co/kynOrikIzK",Mon Mar 12 11:50:59 +0000 2018,0.0,0.0,1.0,0.0,55
BBC News (UK),Teenager jailed for London moped acid attacks https://t.co/0N5pGH0FJz,Mon Mar 12 11:45:20 +0000 2018,-0.7269,0.0,0.496,0.504,56
BBC News (UK),"Sir Ken Dodd, the king of goofy gags has died aged 90. Here's a look back at his comedy legacy.… https://t.co/pb1v6I8jTy",Mon Mar 12 11:32:22 +0000 2018,-0.2732,0.104,0.747,0.149,57
BBC News (UK),England cricketer Ben Stokes denies affray charge https://t.co/31TXah6pzd,Mon Mar 12 11:09:16 +0000 2018,-0.4215,0.0,0.714,0.286,58
BBC News (UK),GKN faces new £8.1bn Melrose bid in takeover battle https://t.co/0va7HUByJ1,Mon Mar 12 09:33:38 +0000 2018,-0.3818,0.0,0.776,0.224,59
BBC News (UK),Mark McDonald says he is 'morally justified' remaining an MSP https://t.co/pZTjs8FIaM,Mon Mar 12 08:57:21 +0000 2018,0.4019,0.213,0.787,0.0,60
BBC News (UK),RT @SallyBundockBBC: We discuss the latest revelations from #SpaceX #Tesla boss @elonmusk on #BBCBizLive. What do you think? Could life on…,Mon Mar 12 08:42:18 +0000 2018,0.0,0.0,1.0,0.0,61
BBC News (UK),Crufts' live final disrupted by Peta animal activists https://t.co/TGaRDHmzHi,Mon Mar 12 08:00:35 +0000 2018,0.0,0.0,1.0,0.0,62
BBC News (UK),Jamie Carragher: Former Liverpool defender apologises for spitting incident https://t.co/tgJaudZbdj,Mon Mar 12 06:11:42 +0000 2018,0.296,0.286,0.714,0.0,63
BBC News (UK),Russian spy: May to meet ministers to discuss evidence https://t.co/x7jHp3lcUX,Mon Mar 12 05:14:35 +0000 2018,0.0,0.0,1.0,0.0,64
BBC News (UK),Liverpool Prison workers fired for raising safety fears https://t.co/J6RV2xP1W2,Mon Mar 12 05:02:50 +0000 2018,-0.7845,0.16,0.286,0.554,65
BBC News (UK),Concerns over Coventry brain surgeon's operations https://t.co/MCYGouXEOr,Mon Mar 12 04:50:45 +0000 2018,0.0,0.0,1.0,0.0,66
BBC News (UK),Ex-housing boss got 'excessive' £1m payout without approval https://t.co/HZcHdk2zfn,Mon Mar 12 04:50:45 +0000 2018,-0.3724,0.0,0.758,0.242,67
BBC News (UK),Northamptonshire County Council: £10m public health grant probe https://t.co/m2Ryp6C8Am,Mon Mar 12 04:50:45 +0000 2018,0.3612,0.238,0.762,0.0,68
BBC News (UK),Post-Brexit border checks 'may triple queues' to port https://t.co/eeTApmNbSb,Mon Mar 12 04:19:52 +0000 2018,0.0,0.0,1.0,0.0,69
BBC News (UK),"RT @SallyBundockBBC: Share your #KenDodd memories with us #BBCTheBriefing. Does this mark the end of an era in British entertainment?  ""To…",Mon Mar 12 03:57:50 +0000 2018,0.6124,0.208,0.792,0.0,70
BBC News (UK),"Degrees courses to be rated gold, silver and bronze https://t.co/7dleHOi7iq",Mon Mar 12 03:51:07 +0000 2018,0.0,0.0,1.0,0.0,71
BBC News (UK),UK military credibility 'at risk' over cuts https://t.co/6y4lUg8U3p,Mon Mar 12 03:43:13 +0000 2018,-0.5106,0.0,0.583,0.417,72
BBC News (UK),Row as Labour's Debbie Abrahams leaves front bench https://t.co/oShQswClsD,Mon Mar 12 02:27:53 +0000 2018,0.0,0.0,1.0,0.0,73
BBC News (UK),"Sir Ken Dodd dies, publicist says https://t.co/1OngqQEnQc",Mon Mar 12 01:40:53 +0000 2018,0.0,0.0,1.0,0.0,74
BBC News (UK),London mayor Sadiq Khan warns big tech on hate speech https://t.co/u0jYXegse5,Mon Mar 12 00:51:31 +0000 2018,-0.6249,0.0,0.638,0.362,75
BBC News (UK),Abingdon vicar who 'spiritually abused' boy gets two-year ban https://t.co/vVazzN96Zq,Sun Mar 11 23:07:22 +0000 2018,-0.7845,0.0,0.537,0.463,76
BBC News (UK),Dog 'hanging' video appears on Facebook https://t.co/ZJZlbXOMzC,Sun Mar 11 23:02:20 +0000 2018,0.0,0.0,1.0,0.0,77
BBC News (UK),Brexit: Backlash for Cable over 'white nostalgia' comment https://t.co/0fMBziK9Pe,Sun Mar 11 22:31:35 +0000 2018,0.0,0.0,1.0,0.0,78
BBC News (UK),Lanhydrock National Trust cream tea advert sparks outrage https://t.co/5PEwGwI4RC,Sun Mar 11 19:48:50 +0000 2018,0.0,0.243,0.515,0.243,79
BBC News (UK),Kings Cross station closed amid Pro-Kurdish demo https://t.co/QskpSKcZC2,Sun Mar 11 19:13:48 +0000 2018,0.0,0.0,1.0,0.0,80
BBC News (UK),RT @BBCDomC: Salisbury nerve agent risk: Public Health England publish the following advice to people who were in the two contaminated loca…,Sun Mar 11 17:46:35 +0000 2018,-0.2732,0.0,0.909,0.091,81
BBC News (UK),Manchester Piccadilly railway station reopens after about 100 protesters stormed the railway lines https://t.co/OX63zqpMTN,Sun Mar 11 16:56:37 +0000 2018,-0.2263,0.0,0.872,0.128,82
